student_id,minutes_watched
147904,4.83
147932,45.70
147941,0.23
147954,10.25
147963,0.10
147992,26.57
148006,24.83
148060,55.52
148107,36.18
148119,19.35
148133,23.67
148137,0.15
148138,2.70
148148,4.57
148149,0.17
148150,1.28
148159,0.12
148170,0.25
148171,1.38
148176,0.57
148195,1.80
148201,0.23
148203,46.13
148219,0.05
148221,0.50
148223,1.07
148225,1.23
148229,16.27
148230,0.10
148231,0.23
148239,0.40
148245,6.65
148258,0.50
148276,0.73
148277,1.43
148292,19.65
148296,0.65
148298,1.27
148307,1.97
148309,72.17
148314,0.10
148318,0.68
148319,0.13
148320,14.80
148321,34.18
148324,18.92
148334,0.57
148341,10.00
148343,0.95
148346,562.72
148357,0.50
148363,21.35
148380,0.27
148387,0.07
148390,39.05
148406,37.95
148427,0.47
148433,1.13
148440,0.10
148442,3.37
148448,0.07
148449,0.70
148461,0.03
148469,0.83
148475,0.47
148485,1.57
148487,0.67
148496,0.35
148497,6016.20
148499,15.73
148505,2.55
148506,2.12
148507,1.68
148512,2.20
148516,86.80
148525,0.07
148531,236.07
148532,5.10
148533,0.45
148544,56.95
148551,0.07
148556,2.73
148560,0.52
148569,12.48
148570,0.13
148586,0.50
148590,1.97
148592,2.02
148593,7.83
148602,1.58
148605,0.28
148623,65.68
148628,160.75
148641,3.22
148643,1402.80
148656,56.57
148667,1370.88
148669,246.68
148674,6.65
148677,0.90
148682,3.37
148691,0.22
148703,46.93
148706,1.85
148719,7.68
148721,95.28
148724,34.77
148726,0.25
148728,0.43
148729,50.08
148734,2.52
148737,0.88
148750,0.28
148753,42.92
148756,105.42
148767,5.90
148790,0.40
148795,1.43
148797,1.92
148804,0.63
148818,0.07
148822,21.65
148830,0.70
148833,5.63
148845,26.12
148848,72.52
148850,0.27
148855,0.30
148871,2.17
148873,49.85
148877,0.33
148878,0.25
148881,0.98
148887,4.23
148891,24.10
148901,10669.75
148909,5.08
148915,29.08
148925,25.20
148934,33.13
148936,80.40
148949,0.53
148989,2.33
148990,14.52
148992,8.82
149014,16.62
149016,0.10
149036,0.08
149037,51.63
149042,51.03
149043,16.93
149045,12.97
