student_id,minutes_watched,paid_in_q2
986,0.07,1
987,149.60,1
988,364.28,1
988,364.28,1
991,1640.47,1
994,280.97,1
998,6.63,1
998,6.63,1
999,117.92,1
999,117.92,1
999,117.92,1
999,117.92,1
999,117.92,1
999,117.92,1
999,117.92,1
999,117.92,1
1002,1394.52,1
1006,16.33,1
1008,473.00,1
1010,4.93,1
1014,191.83,1
1015,1026.30,1
1016,56.18,1
1018,171.12,1
1019,8.58,1
1029,62.65,1
1033,0.05,1
1034,107.75,1
1034,107.75,1
1034,107.75,1
1034,107.75,1
1034,107.75,1
1034,107.75,1
1035,1449.77,1
1040,0.08,1
1042,403.88,1
1045,82.25,1
1045,82.25,1
1045,82.25,1
1046,899.57,1
1052,34.33,1
1052,34.33,1
1056,25.33,1
1057,1075.13,1
1057,1075.13,1
1057,1075.13,1
1063,1867.33,1
1063,1867.33,1
1063,1867.33,1
1064,27.08,1
1066,375.32,1
1067,0.27,1
1067,0.27,1
1067,0.27,1
1073,5.03,1
1081,453.35,1
1081,453.35,1
1086,894.85,1
1091,46.45,1
1099,0.28,1
1102,983.82,1
1105,2.90,1
1116,0.12,1
1119,73.25,1
1119,73.25,1
1125,11.38,1
1127,433.43,1
1128,1002.52,1
1132,139.87,1
1140,137.60,1
1143,21.02,1
1145,657.35,1
1151,122.35,1
1155,9.13,1
1158,4.58,1
1165,40.68,1
1166,338.82,1
1169,49.65,1
1173,487.40,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1175,35.25,1
1183,1333.03,1
1187,63.40,1
1188,35.40,1
1190,124.13,1
1196,119.23,1
1197,1758.28,1
1201,200.12,1
1207,184.10,1
1209,6.47,1
1212,42.02,1
1214,36.08,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1215,1542.72,1
1216,0.18,1
1224,19.88,1
1226,12.83,1
1235,2.75,1
1238,50.80,1
1238,50.80,1
1238,50.80,1
1242,53.38,1
1244,26.03,1
1246,1475.23,1
1249,12.23,1
1253,0.15,1
1253,0.15,1
1253,0.15,1
1257,2.07,1
1259,759.92,1
1271,40.55,1
1271,40.55,1
1272,234.00,1
1283,0.33,1
1284,586.48,1
1284,586.48,1
1284,586.48,1
1292,33.93,1
1292,33.93,1
1294,1.75,1
1299,55.57,1
1306,68.93,1
1308,388.75,1
1313,0.55,1
1317,776.42,1
1323,60.50,1
1323,60.50,1
1324,90.70,1
1327,160.47,1
1330,108.10,1
1331,101.38,1
1336,9.65,1
1336,9.65,1
1336,9.65,1
1336,9.65,1
1347,29.93,1
1347,29.93,1
1347,29.93,1
1347,29.93,1
1347,29.93,1
1347,29.93,1
1350,1694.00,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1353,397.35,1
1355,232.40,1
1357,142.72,1
1357,142.72,1
1357,142.72,1
1357,142.72,1
1357,142.72,1
1357,142.72,1
1363,765.77,1
1363,765.77,1
1369,4.95,1
1373,6429.47,1
1374,219.42,1
1375,28.78,1
1379,3143.92,1
1382,17.15,1
1382,17.15,1
1388,87.18,1
1389,66.67,1
1393,0.05,1
1395,133.52,1
1397,2979.00,1
1419,203.62,1
1424,136.73,1
1426,165.58,1
1426,165.58,1
1428,339.83,1
1434,1690.60,1
1437,318.90,1
1456,3460.35,1
1459,95.22,1
1459,95.22,1
1461,7.80,1
1463,7.25,1
1465,47.45,1
1468,10.93,1
1471,0.05,1
1473,48.87,1
1482,354.67,1
1482,354.67,1
1491,2594.37,1
1494,201.93,1
1498,32.62,1
1498,32.62,1
1500,821.40,1
1500,821.40,1
1500,821.40,1
1500,821.40,1
1501,850.03,1
1502,0.63,1
1504,1072.95,1
1513,272.30,1
1522,196.95,1
1531,2.70,1
1532,2.22,1
1535,831.20,1
1537,0.13,1
1538,191.57,1
1542,2007.97,1
1544,26.70,1
1544,26.70,1
1550,395.48,1
1553,83.15,1
1561,550.45,1
1567,921.55,1
1571,77.60,1
1571,77.60,1
1571,77.60,1
1571,77.60,1
1571,77.60,1
1587,93.92,1
1587,93.92,1
1588,5.68,1
