purchase_id,student_id,plan_id,date_start,date_end,date_refunded
201,17885,0,2020-03-23,2020-04-23,NULL
202,9181,2,2020-03-24,2021-03-24,NULL
203,12092,0,2020-03-24,2020-04-24,NULL
204,134798,0,2020-03-24,2020-04-24,NULL
205,134928,0,2020-03-24,2020-04-24,NULL
206,109870,0,2020-03-25,2020-04-25,NULL
207,7100,0,2020-03-25,2020-04-25,NULL
208,14543,0,2020-03-25,2020-04-25,NULL
209,1206,2,2020-03-25,2021-03-25,NULL
210,25199,0,2020-03-25,2020-04-25,NULL
211,13887,2,2020-03-25,2021-03-25,NULL
212,1141,2,2020-03-26,2021-03-26,NULL
213,19018,0,2020-03-26,2020-04-26,NULL
214,3486,2,2020-03-26,2021-03-26,NULL
215,19178,2,2020-03-26,2021-03-26,NULL
216,8569,2,2020-03-26,2021-03-26,NULL
217,7552,2,2020-03-26,2021-03-26,NULL
218,13478,2,2020-03-26,2021-03-26,NULL
219,21028,0,2020-03-26,2020-04-26,NULL
220,10131,0,2020-03-27,2020-04-27,NULL
221,10171,2,2020-03-27,2021-03-27,NULL
222,10211,2,2020-03-27,2021-03-27,NULL
223,22247,0,2020-03-27,2020-04-27,NULL
224,16632,2,2020-03-28,2021-03-28,NULL
225,34293,0,2020-03-28,2020-04-28,NULL
226,19979,0,2020-03-28,2020-04-28,NULL
227,24897,0,2020-03-29,2020-04-29,NULL
228,31627,0,2020-03-29,2020-04-29,NULL
229,24246,0,2020-03-29,2020-04-29,NULL
230,72381,0,2020-03-29,2020-04-29,NULL
232,93899,2,2020-03-29,2021-03-29,NULL
233,7724,2,2020-03-29,2021-03-29,NULL
234,2088,2,2020-03-30,2021-03-30,NULL
235,4035,2,2020-03-30,2021-03-30,NULL
236,1311,2,2020-03-30,2021-03-30,NULL
237,23974,2,2020-03-31,2021-03-31,NULL
238,3321,2,2020-03-31,2021-03-31,NULL
239,2495,2,2020-03-31,2021-03-31,NULL
240,99450,2,2020-03-31,2021-03-31,NULL
241,13435,2,2020-03-31,2021-03-31,NULL
242,52147,0,2020-03-31,2020-04-30,NULL
243,6871,2,2020-03-31,2021-03-31,NULL
246,31723,2,2020-04-01,2021-04-01,NULL
247,6248,2,2020-04-01,2021-04-01,NULL
248,13289,2,2020-04-02,2021-04-02,NULL
249,4004,2,2020-04-02,2021-04-02,NULL
250,18362,2,2020-04-02,2021-04-02,NULL
251,23694,0,2020-04-02,2020-05-02,NULL
252,18222,0,2020-04-02,2020-05-02,NULL
253,135407,2,2020-04-02,2021-04-02,NULL
254,10138,2,2020-04-02,2021-04-02,NULL
255,7015,2,2020-04-02,2021-04-02,NULL
256,2130,2,2020-04-02,2021-04-02,NULL
257,2270,2,2020-04-02,2021-04-02,NULL
258,2428,2,2020-04-02,2021-04-02,NULL
259,921,2,2020-04-03,2021-04-03,NULL
260,8875,2,2020-04-03,2021-04-03,NULL
261,10555,0,2020-04-03,2020-05-03,NULL
262,1623,2,2020-04-03,2021-04-03,NULL
263,135384,0,2020-04-03,2020-05-03,NULL
266,4006,2,2020-04-03,2021-04-03,NULL
267,62446,0,2020-04-03,2020-05-03,NULL
268,2314,2,2020-04-03,2021-04-03,NULL
271,11113,2,2020-04-03,2021-04-03,NULL
272,12971,2,2020-04-03,2021-04-03,NULL
273,3514,2,2020-04-03,2021-04-03,NULL
274,30089,2,2020-04-03,2021-04-03,NULL
275,2303,0,2020-04-04,2020-05-04,NULL
276,16653,2,2020-04-04,2021-04-04,NULL
277,6261,2,2020-04-04,2021-04-04,NULL
278,90821,2,2020-04-04,2021-04-04,NULL
279,2807,2,2020-04-04,2021-04-04,NULL
280,27890,2,2020-04-04,2021-04-04,NULL
281,123487,2,2020-04-04,2021-04-04,NULL
282,1569,2,2020-04-04,2021-04-04,NULL
283,986,2,2020-04-04,2021-04-04,NULL
284,6401,0,2020-04-04,2020-05-04,NULL
285,135496,0,2020-04-04,2020-05-04,NULL
286,8734,2,2020-04-04,2021-04-04,NULL
287,7149,0,2020-04-04,2020-05-04,NULL
288,14786,2,2020-04-04,2021-04-04,NULL
289,8485,2,2020-04-04,2021-04-04,NULL
290,9051,2,2020-04-04,2021-04-04,NULL
291,1789,2,2020-04-04,2021-04-04,NULL
292,4236,2,2020-04-04,2021-04-04,NULL
293,7782,2,2020-04-05,2021-04-05,NULL
294,5684,2,2020-04-05,2021-04-05,NULL
295,134817,0,2020-04-05,2020-05-05,NULL
296,2904,2,2020-04-05,2021-04-05,NULL
297,10422,2,2020-04-05,2021-04-05,NULL
298,118305,2,2020-04-05,2021-04-05,NULL
299,12029,2,2020-04-05,2021-04-05,NULL
300,110887,2,2020-04-05,2021-04-05,NULL
301,12387,0,2020-04-05,2020-05-05,NULL
302,17554,2,2020-04-05,2021-04-05,NULL
303,4019,2,2020-04-05,2021-04-05,NULL
304,6421,2,2020-04-05,2021-04-05,NULL
305,111643,2,2020-04-05,2021-04-05,NULL
306,4833,2,2020-04-06,2021-04-06,NULL
307,1924,0,2020-04-06,2020-05-06,NULL
308,13497,0,2020-04-06,2020-05-06,NULL
309,5913,0,2020-04-06,2020-05-06,NULL
310,7881,2,2020-04-06,2021-04-06,NULL
311,9096,2,2020-04-06,2021-04-06,NULL
312,99493,2,2020-04-06,2021-04-06,NULL
313,31309,2,2020-04-07,2021-04-07,NULL
314,135383,0,2020-04-07,2020-05-07,NULL
315,14806,0,2020-04-07,2020-05-07,NULL
316,14649,2,2020-04-07,2021-04-07,NULL
317,3712,0,2020-04-07,2020-05-07,NULL
318,7452,2,2020-04-07,2021-04-07,NULL
319,4034,2,2020-04-07,2021-04-07,NULL
320,29912,0,2020-04-07,2020-05-07,NULL
321,83383,2,2020-04-07,2021-04-07,NULL
322,12242,2,2020-04-07,2021-04-07,NULL
323,60468,2,2020-04-07,2021-04-07,NULL
324,1018,2,2020-04-07,2021-04-07,NULL
325,1318,2,2020-04-07,2021-04-07,NULL
326,6252,2,2020-04-07,2021-04-07,NULL
327,24240,0,2020-04-08,2020-05-08,NULL
328,6481,2,2020-04-08,2021-04-08,NULL
329,3598,2,2020-04-08,2021-04-08,NULL
330,15498,2,2020-04-08,2021-04-08,NULL
331,11536,2,2020-04-08,2021-04-08,NULL
332,15042,2,2020-04-08,2021-04-08,NULL
333,66289,2,2020-04-08,2021-04-08,NULL
334,10167,2,2020-04-08,2021-04-08,NULL
335,51952,0,2020-04-08,2020-05-08,NULL
336,26371,0,2020-04-08,2020-05-08,NULL
337,35511,0,2020-04-08,2020-05-08,NULL
338,38354,2,2020-04-08,2021-04-08,NULL
340,1785,2,2020-04-08,2021-04-08,NULL
341,14905,2,2020-04-08,2021-04-08,NULL
342,3048,2,2020-04-08,2021-04-08,NULL
343,8622,2,2020-04-08,2021-04-08,NULL
344,140469,2,2020-04-08,2021-04-08,NULL
345,3519,2,2020-04-08,2021-04-08,NULL
346,27104,2,2020-04-08,2021-04-08,NULL
347,2852,2,2020-04-09,2021-04-09,NULL
348,101775,2,2020-04-09,2021-04-09,NULL
349,2903,2,2020-04-09,2021-04-09,NULL
350,142205,2,2020-04-09,2021-04-09,NULL
351,11032,2,2020-04-09,2021-04-09,NULL
352,4692,2,2020-04-09,2021-04-09,NULL
353,63971,2,2020-04-09,2021-04-09,NULL
354,9915,2,2020-04-09,2021-04-09,NULL
357,23268,2,2020-04-09,2021-04-09,NULL
358,23799,2,2020-04-09,2021-04-09,NULL
360,14425,2,2020-04-09,2021-04-09,NULL
361,931,2,2020-04-09,2021-04-09,NULL
364,25831,2,2020-04-09,2021-04-09,NULL
365,14525,2,2020-04-09,2021-04-09,NULL
366,19739,2,2020-04-09,2021-04-09,NULL
367,24324,2,2020-04-09,2021-04-09,NULL
369,841,2,2020-04-09,2021-04-09,NULL
371,8946,2,2020-04-09,2021-04-09,NULL
372,142220,0,2020-04-10,2020-05-10,NULL
373,1803,2,2020-04-10,2021-04-10,NULL
374,15902,2,2020-04-10,2021-04-10,NULL
375,1900,2,2020-04-10,2021-04-10,NULL
376,32205,2,2020-04-10,2021-04-10,NULL
377,2299,2,2020-04-10,2021-04-10,NULL
378,11794,0,2020-04-10,2020-05-10,NULL
379,28900,0,2020-04-10,2020-05-10,NULL
380,16529,0,2020-04-10,2020-05-10,NULL
381,22279,0,2020-04-10,2020-05-10,NULL
382,19369,2,2020-04-10,2021-04-10,NULL
383,1931,2,2020-04-10,2021-04-10,NULL
384,5676,2,2020-04-10,2021-04-10,NULL
385,4590,2,2020-04-10,2021-04-10,NULL
395,5836,2,2020-04-10,2021-04-10,NULL
396,4976,2,2020-04-11,2021-04-11,NULL
397,5655,2,2020-04-11,2021-04-11,NULL
398,2999,2,2020-04-11,2021-04-11,NULL
399,2410,2,2020-04-11,2021-04-11,NULL
400,4143,2,2020-04-11,2021-04-11,NULL
401,9598,0,2020-04-11,2020-05-11,NULL
403,1019,2,2020-04-11,2021-04-11,NULL
404,15258,2,2020-04-11,2021-04-11,NULL
405,1070,2,2020-04-11,2021-04-11,NULL
406,7848,2,2020-04-11,2021-04-11,NULL
407,9794,2,2020-04-11,2021-04-11,NULL
408,11575,2,2020-04-12,2021-04-12,NULL
409,15500,2,2020-04-12,2021-04-12,NULL
410,2685,2,2020-04-12,2021-04-12,NULL
411,3369,0,2020-04-12,2020-05-12,NULL
412,9387,0,2020-04-12,2020-05-12,NULL
413,9894,2,2020-04-12,2021-04-12,NULL
414,86545,2,2020-04-12,2021-04-12,NULL
415,4861,2,2020-04-12,2021-04-12,NULL
416,38111,2,2020-04-13,2021-04-13,NULL
417,14945,2,2020-04-13,2021-04-13,NULL
418,30122,0,2020-04-13,2020-05-13,NULL
419,13810,2,2020-04-13,2021-04-13,NULL
420,54542,2,2020-04-13,2021-04-13,NULL
421,23019,2,2020-04-13,2021-04-13,NULL
425,62960,2,2020-04-13,2021-04-13,NULL
426,6808,0,2020-04-13,2020-05-13,NULL
427,70522,2,2020-04-13,2021-04-13,NULL
428,3549,2,2020-04-13,2021-04-13,NULL
429,3939,2,2020-04-13,2021-04-13,NULL
430,9972,2,2020-04-13,2021-04-13,NULL
431,12442,2,2020-04-13,2021-04-13,NULL
432,16421,2,2020-04-13,2021-04-13,NULL
433,26958,2,2020-04-13,2021-04-13,NULL
434,34097,2,2020-04-13,2021-04-13,NULL
435,7978,2,2020-04-13,2021-04-13,NULL
436,2987,2,2020-04-13,2021-04-13,NULL
437,7521,2,2020-04-13,2021-04-13,NULL
438,20645,2,2020-04-13,2021-04-13,NULL
439,22418,2,2020-04-13,2021-04-13,NULL
440,3286,2,2020-04-13,2021-04-13,NULL
441,2868,2,2020-04-13,2021-04-13,NULL
442,8410,2,2020-04-13,2021-04-13,NULL
443,10176,2,2020-04-13,2021-04-13,NULL
444,41086,2,2020-04-13,2021-04-13,NULL
445,3996,2,2020-04-13,2021-04-13,NULL
446,2417,2,2020-04-13,2021-04-13,NULL
447,10885,2,2020-04-13,2021-04-13,NULL
448,9582,2,2020-04-13,2021-04-13,NULL
450,9128,2,2020-04-13,2021-04-13,NULL
451,20174,0,2020-04-14,2020-05-14,NULL
452,780,2,2020-04-14,2021-04-14,NULL
453,12989,2,2020-04-14,2021-04-14,NULL
454,2653,2,2020-04-14,2021-04-14,NULL
455,11920,2,2020-04-14,2021-04-14,NULL
456,19868,0,2020-04-14,2020-05-14,NULL
